id,ad,soyad,yaş,cinsiyet,email,telefon
1,Canan,Kurt,24,K,canan.kurt@hotmail.com,05511089985
2,Ali,Şen,35,K,ali.sen@yahoo.com,05884418865
3,Zeynep,Erdem,74,K,zeynep.erdem@gmail.com,05728023807
4,Oğuz,Aydın,56,K,oguz.aydin@outlook.com,05598792108
5,Mustafa,Yüksel,74,K,mustafa.yuksel@yahoo.com,05592534514
6,Mehmet,Özkan,44,E,mehmet.ozkan@hotmail.com,05443493404
7,Selin,Özdemir,70,E,selin.ozdemir@gmail.com,05796051184
8,Çağlar,Köse,68,K,caglar.kose@outlook.com,05954781235
9,Eda,Aslan,41,E,eda.aslan@yahoo.com,05163832291
10,Kaan,Demir,51,K,kaan.demir@outlook.com,05907663876
11,Yasemin,Özdemir,40,E,yasemin.ozdemir@outlook.com,05353553792
12,Canan,Şen,48,E,canan.sen@outlook.com,05381359948
13,Alper,Altun,21,E,alper.altun@yahoo.com,05586628336
14,Ege,Koç,46,K,ege.koc@yahoo.com,05342145302
15,Ali,Yüksel,55,E,ali.yuksel@gmail.com,05819588023
16,Yasemin,Doğan,30,E,yasemin.dogan@yahoo.com,05617984041
17,Emre,Yılmaz,25,E,emre.yilmaz@gmail.com,05894425827
18,Merve,Arslan,61,E,merve.arslan@outlook.com,05263221919
19,Ali,Acar,27,K,ali.acar@outlook.com,05862269309
20,Burak,Özkan,28,E,burak.ozkan@hotmail.com,05924357770
21,Barış,Aydın,43,K,baris.aydin@gmail.com,05218519805
22,Ece,Yüksel,75,K,ece.yuksel@yahoo.com,05522337522
23,Merve,Kurt,20,E,merve.kurt@yahoo.com,05147898792
24,Kaan,Yılmaz,30,E,kaan.yilmaz@hotmail.com,05431931872
25,Damla,Demirci,30,K,damla.demirci@yahoo.com,05163445673
26,Murat,Aslan,20,E,murat.aslan@yahoo.com,05126205180
27,Yasemin,Yıldız,57,E,yasemin.yildiz@yahoo.com,05439579649
28,Murat,Özer,42,K,murat.ozer@hotmail.com,05792895140
29,Çağlar,Köse,67,K,caglar.kose@hotmail.com,05142231394
30,Abdullah,Çetin,38,E,abdullah.cetin@outlook.com,05561799943
31,Mehmet,Aydın,49,E,mehmet.aydin@gmail.com,05186384163
32,Barış,Altun,36,E,baris.altun@hotmail.com,05703492813
33,Merve,Demirci,18,K,merve.demirci@outlook.com,05414151453
34,Özge,Yüksel,57,K,ozge.yuksel@hotmail.com,05604408072
35,Emre,Kurt,30,K,emre.kurt@yahoo.com,05145415099
36,Serkan,Köse,51,E,serkan.kose@yahoo.com,05593806324
37,Abdullah,Aydın,66,E,abdullah.aydin@yahoo.com,05473468857
38,Damla,Şen,74,E,damla.sen@gmail.com,05155363018
39,Eda,Köse,50,E,eda.kose@gmail.com,05411796208
40,Barış,Kurt,71,E,baris.kurt@yahoo.com,05885492014
41,Mehmet,Taş,35,E,mehmet.tas@gmail.com,05804159894
42,Yasemin,Yılmaz,20,E,yasemin.yilmaz@outlook.com,05794266730
43,Merve,Öztürk,68,K,merve.ozturk@yahoo.com,05626483850
44,Hatice,Özdemir,74,E,hatice.ozdemir@yahoo.com,05657635945
45,Kaan,Özer,26,E,kaan.ozer@outlook.com,05724307694
46,Zeynep,Yalçın,26,K,zeynep.yalcin@gmail.com,05962139016
47,Ayşe,Kaya,43,K,ayse.kaya@hotmail.com,05534058383
48,Ece,Aktaş,41,E,ece.aktas@hotmail.com,05271842145
49,Selin,Demir,37,K,selin.demir@hotmail.com,05383329666
50,Mustafa,Çetin,21,K,mustafa.cetin@yahoo.com,05496703493
51,Selin,Koç,59,E,selin.koc@hotmail.com,05279506372
52,Ege,Acar,32,K,ege.acar@hotmail.com,05448924500
53,İrem,Doğan,37,E,i̇rem.dogan@outlook.com,05345736381
54,Melis,Aktaş,34,E,melis.aktas@outlook.com,05648353755
55,Damla,Erdem,35,K,damla.erdem@yahoo.com,05219265850
56,Onur,Yalçın,45,K,onur.yalcin@outlook.com,05908752791
57,Emre,Aydın,39,E,emre.aydin@gmail.com,05344299521
58,Barış,Özer,62,K,baris.ozer@hotmail.com,05542885752
59,Berk,Şen,23,E,berk.sen@outlook.com,05419245874
60,Barış,Taş,52,K,baris.tas@yahoo.com,05642623122
61,Berk,Aydın,43,E,berk.aydin@yahoo.com,05641626043
62,Eda,Kılıç,61,E,eda.kilic@outlook.com,05619573620
63,Canan,Yılmaz,59,E,canan.yilmaz@hotmail.com,05389942182
64,Canan,Erdoğan,28,E,canan.erdogan@gmail.com,05931409891
65,Mehmet,Aktaş,59,K,mehmet.aktas@outlook.com,05286635497
66,Berk,Arslan,66,E,berk.arslan@outlook.com,05786074181
67,Deniz,Yılmaz,53,K,deniz.yilmaz@hotmail.com,05155585773
68,Pınar,Acar,60,K,pinar.acar@outlook.com,05916684252
69,Eda,Özdemir,62,K,eda.ozdemir@hotmail.com,05849526768
70,Zeynep,Kaya,66,E,zeynep.kaya@gmail.com,05977501303
